Input1	Input3	Output
-0.825346113	-0.569736295	-0.626477288
-0.787007455	-0.817504375	-0.575068374
-0.857294995	-0.843636865	-0.674614441
-0.682641108	-0.816153216	-0.90886609
-0.635782748	-0.918355819	-0.887484654
-0.691160809	-0.99557736	-0.912996079
-0.646432375	-0.938324026	-0.892158439
-0.650692226	-0.887201961	-0.894057149
-0.667731629	-0.858146384	-0.901826509
-0.667731629	-0.716226552	-0.901826509
-0.623003195	-0.731847454	-0.882008626
-0.533546326	-0.424812142	-0.847184574
-0.67199148	-0.63370429	-0.903814108
-0.761448349	-0.637965729	-0.950535043
-0.616613419	-0.397579166	-0.87932268
-0.580404686	-0.387855499	-0.864712521
-0.608093717	-0.214253925	-0.875793466
-0.678381257	-0.580216751	-0.906830845
-0.378061768	-0.415386023	-0.797617584
-0.588924388	-0.780440037	-0.868060874
-0.627263046	-0.598799189	-0.883818321
-0.5314164	-0.32092957	-0.84642121
-0.548455804	-0.356947228	-0.852606345
-0.550585729	-0.274424339	-0.853392305
-0.559105431	-0.659929647	-0.856565558
-0.361022364	0.012166889	-0.792826948
-0.605963791	-0.722647661	-0.874920252
-0.814696486	-0.884820858	-0.611565858
-0.772097977	-0.807387121	-0.556634572
-0.857294995	-0.873841443	-0.674614441
-0.831735889	-0.716546282	-0.635680504
-0.787007455	-0.963993528	-0.575068374
-0.829605964	-0.874545336	-0.632590685
-0.833865815	-0.576901584	-0.638792832
-0.838125666	-0.756338614	-0.645086352
-0.865814696	-0.912300554	-0.688423299
-0.816826411	-0.506086194	-0.614506807
-0.750798722	-0.834056236	-0.531606867
-0.831735889	-0.820070103	-0.635680504
-0.69542066	-0.549524939	-0.472655768
-0.750798722	-0.721575076	-0.531606867
-0.772097977	-0.835217237	-0.556634572
-0.816826411	-0.522002176	-0.614506807
-0.716719915	-0.322846065	-0.494379101
-0.746538871	-0.891471487	-0.526772369
-0.499467519	-0.86279091	-0.835288182
-0.576144835	-0.874936605	-0.863057935
-0.407880724	-0.837577835	-0.806270131
-0.552715655	-0.606260531	-0.854181185
-0.584664537	-0.906953387	-0.866380098
-0.593184239	-0.752033415	-0.869755059
-0.627263046	-0.828241599	-0.883818321
-0.610223642	-0.597437792	-0.876670285
-0.580404686	-0.718438718	-0.864712521
-0.676251331	-0.804480326	-0.905820495
-0.755058573	-0.746872864	-0.946834359
-0.652822151	-0.848119661	-0.89501291
-0.667731629	-0.721539804	-0.901826509
-0.595314164	-0.683383145	-0.870607247
-0.582534611	-0.497806226	-0.865544673
-0.714589989	-0.877447112	-0.924786288
-0.661341853	-0.602666185	-0.898879576
-0.520766773	-0.71456999	-0.842645002
-0.640042599	-0.526919006	-0.88934184
-0.657082002	-0.336256002	-0.89693744
-0.686900958	-0.704828006	-0.910921039
-0.5314164	-0.449803639	-0.84642121
-0.71884984	-0.852297571	-0.927002158
-0.516506922	0.380064509	-0.841153115
-0.678381257	-0.434877716	-0.906830845
-0.565495208	-0.104349399	-0.858977002
-0.816826411	-0.727141343	-0.614506807
-0.810436635	-0.703616423	-0.605743989
-0.720979766	-0.55982959	-0.49885927
-0.650692226	-0.365335051	-0.430336723
-0.710330138	-0.484164984	-0.487745569
-0.735889244	-0.292718561	-0.51491986
-0.618743344	-0.838131147	-0.40247989
-0.663471778	-0.786480097	-0.442007261
-0.759318424	-0.931259937	-0.541442923
-1	-0.946729685	-0.99997577
-0.701810437	-0.779110041	-0.479057806
-0.776357827	-0.750819168	-0.561820787
-0.650692226	-0.817143262	-0.430336723
-0.71884984	-0.068553316	-0.496613323
-0.823216187	-0.843131486	-0.623453082
-0.806176784	-0.70670289	-0.600000363
-0.761448349	-0.790759393	-0.543937688
-0.689030884	-0.723487452	-0.466348055
-0.546325879	-0.683489279	-0.345331493
-0.787007455	-0.694836041	-0.575068374
-0.740149095	-0.707173077	-0.519621537
-0.748668797	-0.839135611	-0.529182789
-0.870074547	-0.778800232	-0.695498912
-0.872204473	-0.894357378	-0.699081189
-0.763578275	-0.805097215	-0.54644709
-0.799787007	-0.949558461	-0.591527098
-0.797657082	-0.843192003	-0.588739596
-0.833865815	-0.930270128	-0.638792832
-0.757188498	-0.955070816	-0.538962624
-0.669861555	-0.854156211	-0.447963988
-0.703940362	-0.738281586	-0.481213272
-0.720979766	-0.773539434	-0.49885927
-0.495207668	-0.387732323	-0.833846902
-0.478168264	-0.284689139	-0.828177608
-0.427050053	-0.274390519	-0.812024456
-0.314164004	-0.544197451	-0.780183585
-0.663471778	-0.221763115	-0.899857349
-0.373801917	-0.503611793	-0.796409765
-0.348242812	-0.096754932	-0.789303517
-0.597444089	0.174189088	-0.871462868
-0.294994675	-0.073267726	-0.775220477
-0.62513312	0.861539086	-0.882911546
-0.593184239	-0.020268194	-0.869755059
-0.431309904	0.404547163	-0.813324633
-0.273695421	0.039737254	-0.769838471
